sailnumber	name	type
ITA/ITA13610	AUDACE	FIRST 47.7
ESP/Esp5801	AUDI	FIRST 40.7
GER/GER5936	AURELIA	SUNBEAM 53
ESP/ESP10111_C	AURI	BAVARIA 36 SK
AUS/6606	AURIC'S QUEST	NM 46 IMS RACER
GER/E85131	AURIGA	ESSE 850
ESP/ESP6527	AURORA	FIRST 36.7
ITA/ITA333	AURORA	CANARD 41 MOD.
GER/GER6761	AUXELLE	XP-38
GER/HB1730	AVA	H-BOAT ONE DESIGN
BRA/BRA2062	AVANTI	CARABELLI 32
GER/GER6947	AVANTI	SEASCAPE 27
ITA/ITA215SOL	AVAS	SOLING OD
ITA/ITA209SOL	AVAS	SOLING OD
ITA/ITA001J24	AVAS 3	J-24
ESP/ESP10515_C	AVENTURA CUARTO	PROTOTIPO
ESP/ESP17	AVIS	SLY 47
FRA/FRA19782	AXIOME	X-37 Sdt
ESP/ESP4264_C	AXONE	FURIA 382
ESP/ESP10313_C	AY CARAMBA	BAVARIA 34 CRUISER
ESP/ESP6377	AY CARMELA	GOLFIÑO 7,25
ITA/ITA14430	AYAME	GRAND SOLEIL 463
POR/POR8355	AYE	SUN ODYSSEY 39 I
SUI/SUI51	AYLA	SEASCAPE 27
JPN/JPN3757	AZ	FARR 31
ESP/GBR4115R	AZAHAR	SWAN 42
ITA/ITA17019	AZIMUT	SUN FIZZ 40 KETCH
ESP/ESP083_C	AZUER IV	BAVARIA 36 HOLIDAY
ESP/ESP5159_C	AZUL 	RO 300
ARG/ARG4544	AZUL MARINO	PND 34
SUI/SUI329	AZURA	Surprise
ESP/ESP777_C	AZURRE	AZUREE 33
ARG/ARG3888	AZZAM	PANDORA 34
GER/DY3536	AZZURRA	DYNAMIC 35
ARG/ARG4867	AZZURRO	MYSTIC 290
AUS/3430	AZZURRO	S&S 34 (MOD)1.92
NOR/NOR14777	Aava	Elan 350 grunn kjø
NOR/NOR15548	Achieva	Sun OD 349
NOR/NOR12314	Adagio	Bavaria 39 Cr
NOR/NOR1019	Addicted	EXPRESS
CRO/CRO1655	Adio Pameti	Elan 450
TUR/TUR4440	Adios	Farr 25 OD
NED/NED8293	Adios	Salona 37
AUT/AUT11	Adrenalina	Bavaria 35 match
NOR/NOR9863	Adrenelan	ELAN 333
RSA/SA1985	African Renaissance	Farr 38 mod.
CRO/CRO1815	Aiolos	Bavaria CR 45
NOR/NOR11599	Aiolos	Bavaria 37 CR
AUT/_0	Aislinn	BAVARIA 39 CRUISER
NED/NED9112	Ajeto	J-122
NOR/NOR14629	Akina	Oceanis 31
CRO/CRO2521	Albatros	Bavaria CR 41S
NOR/NOR11061	Albertine	Hanse 341
NOR/NOR2027	Albinchen	CUMULUS
