sailnumber	name	type
TUR/TUR3341	Heybeliada Su Sporları K	SB20 ONE DESIGN
AUT/AUT5	Hidra_54	IMS
RSA/RSA198	Hill Billy	J-27
NOR/NOR160	Himlaleite	X-35 OD
NED/NED9067	Hinder	Dehler 35 SV
NED/NED28293	Histos	First 31.7
NED/NED5568	Hodspur	HOD 35
RSA/RSA44	Hors d'Oeuvre	L 26
RSA/RSA1726	Hot Ice	Mount Gay 30
HKG/HKG060	Hotwired	Magic 25
NED/NED2018	Hubo	Waarschip 36  WK
NED/BEL6379	Huldra II	Salona 40x1.99
RSA/RSA2134	Humdinger	Astove 30
NED/NED8585	Hunter	Waarschip 725
NOR/NOR28	Hyak	Sun Fast 3200
NED/NED8944	Hydra	Xp 44
NOR/NOR14757	Hypocampe	Oceanis 40
NOR/NOR9108	Håp	DEHLER 29
NOR/NOR10990	Hårek	First 31.7 LR
ITA/ITA16587	I AM BAD	BAD 37
ESP/BEL287	IA ORANA	X-362 SPORT
GRE/GRE1010	IASON	SUN ODYSSEY 37.1
GRE/GRE846	IASONAS	MOODY 29
ESP/ESP7238	ICARO CINCO	FIRST 36.7
GER/BOD10	ICE	SAY 10
ITA/ITA188J24	ICE SPRAY	J-24
AUS/AUS001	ICHIBAN	BOTIN IRC 52
ESP/ESP9006_C	ICUE	FORTUNA 9
ITA/ITA7397	IDEA FISSA	INTRO
GER/GER5797	IDEAL	SPRINTA-SPORT
POR/POR367	IDEIA FIXA	FIRST 36.7
FRA/FRA29492	IEMANJA	SUN FAST 32 DK (3)
ITA/ITA17237	IEMANJA	M37
AUS/M400	IGNITION	FARR 400  
NED/NED6741	IJs Na!	Winner 1120
NED/NED7786	IJsvogel	Maxi 1300
ITA/ITA17408	IKARUS	GRAND SOLEIL 34
ITA/ITA17408	IKARUS	GRAND SOLEIL 34
ESP/ESP9634_C	IKKO	SUN ODYSSEY 32.IDK
ITA/ITA13922	IL COMMENDA	J-92
ESP/ESP9988_C	IL DOTTORE	OCEANIS 361Clipper
ITA/ITA16417	IL MORO DI VENEZIA XXVII	NAUTILUS MARINA 43
ITA/ITA17259	IL PICCHIO	FAX 33
ITA/ITA15231	IL PINGONE DI MARE	ELAN 31
ITA/ITA17233	IL PINGONE DI MARE III	XP-33
NOR/NOR11328	IL TEMPORALE	SUN FAST 32 I
GER/GER6951	ILE FLOTTANTE	FIRST 35
GRE/GRE1198	ILIADA	SUN ODYSSEY 33.1
NED/NED5698	ILIOS	Jeanneau Rush
ESP/ESP8070_C	ILLUKA	BAVARIA 46 CR 
ITA/ITAILLYR	ILLYRJA II	RANGER 32
NED/ITA13689	ILUKA	First 40.7
ESP/FRA193_C	ILUSION IV	FIRST CLASS 8
GER/GER6147	IMAGINE	IMX-40
FRA/FRA28415	IMAJINE	J-109 DK
AUS/6893	IMALIZARD	welbourn 12M
ESP/ESP10076_C	IMAR 6	RO 300
GER/GER7444	IMMAC FRAM	ITALIA 9.98
SUI/SUI3	IMPERATOR 2	AXION 33.5
GBR/GBR2277L	IMPULSE	X-46
NED/NED2684	IMPULSE	Sprinta Sport
NED/NED5461	IMPULSE	Pion (OOD)
ITA/ITA35177	IMXTINENTE	X-35 OD
BRA/BRA2442	INAE	Sun Odyssey 50 DS 
JPN/JPN1088	INDEPENDENCE 7	1D35
ARG/ARG2595	INDIA	PLENAMAR 36
AUS/AUS47	INDIAN	CARKEEK 47
ITA/ITA17210	INDIAN SCOUT	XP-44
ITA/ITA15314	INDIANA II	SUN FAST 40
GER/GER7644	INDIGO	Dehler 29
ESP/ESP10446	INDIGO	X 302
NED/NED8219	INDIGO	Dufour 40E perf.
ITA/ITA15409	INDIGO	GRAND SOLEIL 40 SD
ESP/ESP8432_C	INDUS QUINTO	TUCANA 28
GRE/SA1031	INFIDIEN	LAVRANOS 43
ESP/ESP8386_C	INFINITO	BAVARIA 33 CRUISER
ESP/ESP9068	INMA	BH 36
GRE/GRE49636	INNAMORATA	OLYMPIC 40
GER/GER5370	INSCHALLAH VI	M M 41
FRA/FRA6806	INSOLENT	DELPH 28 7/8
GRE/GRE2503	INSOMNIA	PLATU 25
GER/SUI18	INSOMNIX	BONGO 9.6 RS
GER/GER5246	INSPIRATION	ONE OFF
NED/NED4209	INSPIRATION	Optima 106
GER/GER7198	INSPIRE	DEHLER 46
GER/GER7300	INTERMEZZO	DEHLER 42 MODIF
GER/X35210	INTOXICATED	X-35
ESP/ESP7991	INTREPIDO 	DUFOUR 40
ESP/ESP10600	INTRIGUE	SWAN 56
NOR/NOR708	INXS	EXPRESS
NED/NED8834	INsails	Dehler 34 2016
FRA/FRA1382	IOALLA	X-382 Mk1
ITA/ITA122S850	IOCUS	ESSE 850
GRE/GRE1207	IOESSA	DISCOVERY 3000EXT
GRE/GRE49386	IOLI	DEHLER 34
GRE/GRE1100	IONIA	X-43
ITA/EUR36015	IPANEMA	SOLARIS 36 O.D.
POR/FRA37924	IPANEMA 	GRAND SOLEIL 37 BC
GRE/GRE1432	IPSIPILI-AEGEAS YACHTING	ELAN 40 SD FK
ITA/ITA14718	IREAL	COMET 45 S
ESP/ESP8078_C	IREMAR TERCERA	OCEANIS 40(1.90)
ITA/ITA16647	IRIDE	FIRST 35
ITA/ITA9228	IRIDE	RIVETTO
ITA/ITA16434	IRINA	FARR 40
GRE/GRE1318	IRIS	SUNRISE 35
NED/NED5810	IRISH-MIST	Lightwave 395
FRA/FRA6770	IROMIGUY	NICHOLSON 33
JPN/JPN6605	IRRESISTIBLE 5	XP-44
ESP/ESP9937_C	ISABELLA	SUN ODYSSEY 379
AUS/6654	ISABELLA	HANSE 400E
ESP/ESP10497_C	ISFAGEL	CUTLASS 27
ESP/ESP10168_C	ISLA DE LOBOS	BAVARIA 50
ESP/ESP8468_C	ISLA MAROLA	FIRST 25.7
ESP/ESP10298_C	ISLA TORTUGA UNO	PUMA 32
ITA/ITA12469	ISOLA	X-372
ESP/ESP9823	ISURUS	SUN ODYSSEY 36 i P
ESP/POR5050	ITACA	FIRST 50
GBR/GBR4251	ITALIAN JOB	J-24
AUS/AUS87	ITALIAN JOB	Farr 30
ESP/GBR1541R	ITALIAN JOB IV	SOLARIS 50 SK
GRE/GRE1436	ITANOS	BAVARIA 37
NED/NED3925	ITCH	1/4 Ton
GRE/GRE1491	IVILATO	Moody 28
GRE/GRE49184	IXIS-AFIXIS	X-452
RSA/RSA192	Idefix	J 27
CAN/CAN4	Idiopathic	FARR 30
RSA/SA797	Iechyd Da	Miura
NOR/NOR15155	Ikaros	Sun OD 39i
NED/NED9611	Ike	Pion 
NED/GBR1513	Il Corvo	Grand Soleil 43
NOR/NOR14760	Illuminati	Grand Soleil 43 BC
NED/BEL1635	Illusion	First 27.7
USA/51882	Illyria	J-120
AUT/AUT7361	Ima X	X-50
CRO/CRO2080	Imago	Oceanis 45
NED/GBR6865	Imajine	J-109
NOR/NOR4489	Impuls	MIXER CR
NED/NED7540	Incognito	Feeling 1090x140
RSA/RSA66	Indaba	Van De Stadt 34
NED/NED7813	Indian Summer	Stila 44
NED/NED7825	Indigo	Indigo
AUS/AUS211	Inevitable	11m OD
NOR/NOR15334	Infinity	Hanse 345
NED/NED8828	Ingnis	Dehler 38
GBR/GBR2728L	Injenious	J 97
FIN/FIN310	Inkeri	S&S 6.6
NED/NED8277	Inspirit	Dehler 39 SQ
NED/NED4668	Intense	First Class 10
NOR/NOR11046	Intermezzo	Bavaria 42 Match
NOR/NOR14469	Inua	HR 310
HKG/HKG027	Iron Man 25	Magic 25
NOR/NOR10890	Istedenfor	Dufour 34
HKG/HKG069	It's My Pleasure	Magic 25
NED/NED8518	J & A	Oceaan 25
NED/NED8847	J Power	J-70 ONE DESIGN
NED/NED1137	J'Zuster	J-80 OD
NED/NED8089	J'entre	J-24
NED/FRA27868	J-BLUE	JPK 960
NED/NED5375	J-Rover	J-39
NED/GBR8014	J-String	J-80
NED/GBR5324	J. Livingston Seagull	Hustler 32
FRA/FRA83J1	J4F	J-111 OD
FRA/FRA43743	JAASAP	JPK 10.10 Ca
ESP/ESP2517_C	JABATO	PUMA 27
ARG/ARG110	JABEQUE Reloaded	G 28
GER/GER5782	JACARANDA	SIGMA 38
GER/GER6337	JACARANDA	FIRST 35
ITA/ITA018UFO22	JACK SPARROW	UFO 22
FRA/FRA35187	JACKALS	J-92 Asym  S/D (3)
FRA/FRA16919	JADE	FIRST 310 DK
ITA/ITA15115	JALA	COMET 41S
GER/GER6560	JALAPEÑO	J-105
GER/J221161	JALLA JALLA	J-22 STD
JPN/JPN372	JAM	MELGES 24 OD
USA/18	JAM	J-160 DEEP KEEL
FRA/FRA43981	JAMBO	J-97 Carb Mast
ESP/ESP7145	JAMBO	FIRST 31.7
ESP/ESP7544	JAMBO	FIRST 36.7
NED/NED8800	JAMERELLA	FARR 50
ITA/ITA21120	JAMILA	SOLARIS 37
ESP/ESP2523	JANO	RUSH 31
ESP/ESP10307_C	JANSEN	DUFOUR 32 CLASSIC
ESP/ESP5496	JANUARY SAILS	SHE 31
ITA/ITAJARAM	JARAMI	VOYAGE 12.50
NED/NED2974	JASON	Norlin 37 A (SD)
ITA/ITA17037	JAVAL 2	GS 43
SUI/SUI434	JAWS	J-70 ONE DESIGN
ESP/NED6977_C	JAY WALKER	J 35
ESP/ESP8889_C	JAZZ	FIRST CLASS 8
NLS/NED6803SH	JAZZ	Comfortina 42
EST/EST465	JAZZ	First 34.7
NED/NED6803	JAZZ	Comfortina 42
AUS/S390	JAZZ PLAYER	Z 39
GRE/GRE1365	JEANNE BONNE	DROMOR 26
ESP/ITA16879	JEFFERTJE II	GRAND SOLEIL 46
FRA/FRA37197	JEMINI	J-97 Alu
FRA/FRA38467	JEMINY	DUF 36 Perf Sym
ITA/ITA034UFO22	JENA PLINSKY	UFO 22
GER/GER3855	JENIFFER	SWAN 441H MOD.
USA/USA61017	JEROBOAM	FARR 400
ESP/ESP6315	JERONIMO II	FIRST 47.7 (SK)
GER/J801175	JESTER	J-80 OD
ESP/ESP7431	JILORIO	DUFOUR 34
FRA/FRA9649	JIN TONIC	J-92 Asym  S/D (3)
NOR/NOR11541	JJFLASH	J/109
ITA/ITA17429	JK SAIL	C57
ITA/ITA65	JKILLER	J-24
RSA/RSA78	JML 1	L 26
RSA/RSA60	JML 3	L 26
ITA/ITA848J80	JO CONDOR	J-80 OD
FRA/FRA19975	JOBIC IV	HANSE 401
ITA/ITA16949	JOBRI	BAVARIA 40
ITA/ITA13736	JOD "C"	J.O.D. 35
ESP/ESP7198_C	JOGY	FINNGULF 31
NED/NED2870	JOHANNA	Victoire 822 x1.20
FRA/FRA2377C	JOHN DOE	J-109 DK
GBR/GBR479	JOIE DE VIVRE	J-80 OD
GER/GER3164	JOJO	SPRINTA-SPORT OD
MLT/ITA15989	JOLIE	FIRST 45
ITA/ITA35053	JOLIE BRISE	FIRST 35
ITA/ITA39J22	JOLLY ROGER	J-22 STD
ITA/ITA15860	JOLLY ROGER	GRAND SOLEIL 40 BC
ITA/ITA25324	JONATHAN	FARR PLATU 25
ITA/ITA13323	JONATHAN VII	IMX 38
GER/GER7290	JOS OF HAMBLE	SWAN 37 NORM
ITA/ITA16968	JOSHUA 3	ITALIA YACHT 10.98
ITA/ITA9461	JOSHUA II	ZIGGURAT 995
ESP/ESP7000	JOT	PUMA 42
NED/NED7749	JOT	J-80
ITA/ITAJOTTO	JOTTO DOMINI VENETI	J 80
FRA/FRA7047	JOUJOU	J-92 Asym  S/D (3)
GER/GER6899	JOY	PACER 27
GER/GER7226	JOY	LARSEN 34
ITA/GBR1322	JOY	J 122
GRE/GRE49362	JOY OF FREEDOM	GIBSEA 31
USA/89	JOY RIDE	J 122E
ESP/ESP3312_C	JOYSO	DINA 223
ITA/ITA4465	JSTORM	J-111
ESP/ESP10463	JUAN DE LANGARA	SYDNEY 40
ESP/ESP4638	JUANCAMARIA 3	IMX 38
ESP/ESP10432	JUGUESCA	GRAND SOLEIL 45
RUS/RUS14001	JUKEBOX	IMX 40
ESP/ESP10479_C	JUKOFF	TARANTELLE
ITA/ITA18081	JULES ET JIM 2	FIRST 34.7
FRA/FRA43744	JULEY	POGO 30 (LK) Carb 
GER/GER6964	JULIA	SEASCAPE 27
FRA/FRA29367	JULIETTE	FIRST 36.7 Racing
FRA/FRA27907	JUMACABI	J-92 S
ITA/ITA1	JUMANJI	SURPRISE
NED/NED7662	JUNE	J-92 S
GRE/GRE2380	JUNIOR	J-80
NED/NED7244	JUNIQUE	J-122 (DK)
NED/NED6900	JUNO	J-92
FRA/FRA17339	JURASSIC	SPRINT 108 Mod
AUS/7722	JUST A DASH	FIRST 40
ITA/ITA15415	JUST A JOKE	A-35
ESP/GBR7897R	JUST THE JOB	J 97 E
ESP/ESP1103	JUST4FUN	J 80
ITA/ITA156FUN	JUSTFUN	FUN
NED/NED806	JUTTER	Sigma 36
GER/GER7504	JUXBOX	X-46
GER/GER6211	JYNX	T-24
NOR/NOR12383	JYSLA LØYE	FARR 40 OD
RSA/GBR5733R	Jacana	J-133
NOR/NOR11606	Jacetti	J/92 S
NED/US63281	Jack in the Box	J-29
NLS/NED6809SH	Jack rabbit	J-109
NED/NED6809	Jack rabbit	J-109
NOR/NOR5741	Jacobine	WASA 38 CR
NED/NED8505	Jadwiga 2	Dehler 36 CWS 1.85
NED/NED7624	Jaffa	One off
NED/GBR9570	Jaguar of Burnham	J-109
NED/NED7439	Jai Alai	J-109
NOR/NOR10203	Jakobine	J/92
NLS/NED8009SH	Jam Session	J-122 (DK)
NED/GBR6909R	Jam Session	J-109  
NED/NED8009	Jam Session	J-122 (DK)
NED/NED8907	Jambo	Hunter 707
NED/NED5289	Jan-Jan	Winner 11.20
NED/NED4457	Janboel	J-35
NOR/NOR11087	Janita	Bavaria 36 CR 01-0
CRO/CRO2478	Janus	Bavaria CR 46
CRO/CRO1843	Jasmin	Bavaria CR 40S
AUS/RQ122	Javelin	J 122 2.2
AUS/0122	Jazzamatazz	j 122
NED/NED8821	JeJoLi	Tirion
NED/NED8940	Jeanne	Jeaneau Poker
NED/NED7822	Jeanne m'Arc	Elan 380
NED/NED1944	Jelischa	Pion (OOD)
NED/Ned8301	Jellow	J-35
NED/NED8560	JenN	Dehler Dehlya 25
NOR/NOR11240	Jenny E.	First 36.7
NLS/NED7593SH	Jester	J-109
NED/NED7593	Jester	J-109
NLS/NED8804SH	Jetstream	J-122 (DK)
NED/NED8804	Jetstream	J-122 (DK)
NED/GBR1509R	Jibe	J-109
NED/NED7235	Jikke	J-105
NED/NED5954	Jinx	J-92
NED/NED8941	Jip	Dehler 28
NLS/NED8736SH	Jipper	J-120
NED/NED8736	Jipper	J-120
NOR/NOR744	Jippi	EXPRESS
NED/NED7793	Jitters	J-109
NED/NED8958	Joanna	HALLBERG RASSY 352
NED/NED8421	Joe Cool	S&S 34
NOR/NOR15585	Joie de Vivre 	DEHLER 38 13-
NED/NED9108	Joint	J-108
NOR/NOR9878	Jolly Yacht	First 31.7 HR
AUT/AUT340	Jonathan Pink	DUFOUR 44 PERF.
NOR/NOR11733	Jonna	Elan 40
NED/NED8507	Jool	J-24
NED/NED8202	Joost en Vrolijk	DEHLER 36 JV
NOR/NOR14742	Joppe	Humphreys 30
NED/NED7643	Joris K	Elan 37x2.05
NOR/NOR1461	Josefine III	MAXI 95
NED/NED8478	Josephine	v/d Stadt Samoa 47
NOR/NOR3092	Josin	BALLAD
NED/NED6710	Jottem	J-92
NED/Ned8276	Joule	J-109
CRO/CRO1816	Ju	Bavaria CR 45
CRO/CRO2487	Ju 2	Baavria C45
NOR/NOR14887	Jubel	J/109
CRO/CRO1849	Judita	Bavaria CR 40S
NOR/NOR7100	Julia	COMFORTINA 38 CR
NOR/NOR2890	Julia	ALBIN 78 CIRRUS
NOR/NOR13879	Julie	Dufour 34e
NOR/NOR14546	Julie	Hanse 350
ISR/ISR524	Jumanji	J 120
GBR/GBR3135L	Jumbuck	J 109
NOR/NOR13946	Just 4 Fun	Salona 34
RSA/RSA1796	Just Fun	Mount Gay 30
NED/NED7268	Just J	J-133
NOR/NOR11441	Just do it (tidligere Ti	Bavaria 38 Cruiser
CRO/CRO2553	Just for Fun	Bavaria 39 Cruiser
NED/NED8955	Just us	J-120
NOR/NOR13944	Jutlandia II	Oceanis 323
NOR/NOR117	Jutta	YNGLING
CRO/CRO1770	Juventus	First 35
NOR/NOR13343	Jølle	Dufour 34 Performa
GER/GER2608	KAEPTN BLAUBAER	FARR 727
GRE/GRE4957	KAHLUA	CATCH 22
ESP/ESP3045_C	KAI	DEHLER 34
ESP/ESP10154_C	KAIROS III	DUFOUR 325 GL
ITA/ITA14484	KALA NAG	FIRST 40.7
FRA/FRA14529	KALAIS	GRAND SOLEIL 40
ESP/ESP7669	KALAMANDURRIO	DUFOUR 40 DK
GER/GER7452	KALEA	WINNER 10.20
USA/USA52439	KALEVALA II	GRAND SOLEIL 37 BC
GRE/GRE370	KALHI	SUN ODYSSEY 37
ITA/ITA16072	KALI MERA	SUN FAST 35
ESP/ESP7973_C	KALIMA V	CENTURION 40 S
GRE/GRE14	KALIMERA	YCA 29
GRE/GRE1151	KALLISTO	OLYMPIC SEA 42
GRE/GRE1025	KALLONI	ATLANTIC 31
ITA/ITAKALO	KALONI	GRAND SOLEIL 34
ITA/ITA17413	KALONI	GRAND SOLEIL 34
GRE/GRE1713	KALYDONA	SUN ODYSSEY 33
GRE/GRE1955	KAMAYA V	SUN ODYSSEY 34.2
BRA/BRA2315	KAMIKAZE XI	SKIPPER 30 QC
ESP/ESP8745_C	KANDINSKE	SUN ODYSSEY 42 I 
ITA/ITA17404	KANZA	FIRST 42 S7
FRA/FRA17166	KAOBA	KAOBA 31
NOR/NOR1669	KAOS	HUNTER SONATA
ITA/ITA16137	KAOS	SALONA 37
FRA/FRA36949	KARIBARIO 6	SUN ODYSSEY 40 DK
GER/GER5736	KARMA	DEHLER 36 SQ
GER/GER7164	KARUMA	FIRST 34.7
TUR/TUR1300	KARYA YELKEN	SURPRISE
FRA/FRA39328	KASHMIR	FIRST 30 Q Ir
GRE/GRE1142	KASSIOPI	BAVARIA 35 HOLIDAY
NED/NED6600	KATALYX	X-562
EST/EST949	KATARIINA II	ONE OFF
GBR/RP45	KATSU	Reichel/Pugh 45
ITA/ITAKAUNI	KAUNIS	DEHLER 25
AUS/MH46	KAYIMAI	AZUREE 46
ESP/ESP8099_R	KAYUS	Oceanis 423
ESP/ESP8099_C	KAYUS	OCEANIS 423
ESP/ITA14089	KEA	PICCO 38' C/R
ITA/ITA1331SU	KEBIRRA	SURPRISE
FRA/FRA9163	KEEL BILL	SHAW 35
FRA/FRA44072	KEFELEG MOR 4	DEHLER 33 Classic
ESP/ESP10227_C	KEIKO	SUN ODYSSEY 45 DS
ITA/ITA15545	KEIRA	ZUANELLI 40
FRA/FRA8010	KELT BRAZ	PROTOTYPE
ESP/ESP9929_C	KENIA	Dufour 35 Classic
ITA/ITA16351	KEONDA III	GRAND SOLEIL 40
GRE/GRE917	KERKYRA	GIBSEA 35 SK
AUS/RQ5050	KERUMBA	KER 50
AUS/46	KHALEESI	DK46
ITA/ITA15851	KHAMSIN II	FIRST 40.7
GER/E8578	KHULULA	ESSE 850
ESP/ESP10264_C	KHYRU II	SUN ODYSSEY 409 DK
FRA/FRA34824	KIA ORA	JPK 960
AUS/AUS7742	KIALOA 2	S & S 73 Classic
NED/NED8223	KICK	Bonita 767
ESP/ESP7259_C	KIKI WIKI	FIRST CLASS 7.5
ITA/ITA14455	KIKO	FIRST 27.7
ESP/TUR2206	KIM	FIRST 40.7 
FRA/FRA37497	KIMBE RED !	DUF 34E DK Ir Std
ESP/ESP5213_C	KIMERA III	BAVARIA 320
JPN/JPN5910	KINE KINE 11	IMX 40
NED/NED8934	KING	Bavaria 36 Cruiser
AUS/4966	KING BILLY	KING 38 CUSTOM
GRE/GRE1533	KIRKI	OCEANIS 393
BRA/BRA2624	KIRON 	HS38
CAN/CAN49	KISS	FARR 30
ITA/ITA8521	KIWI	FARR 31 MOD.
BUL/BUL61	KIZ	OCEANIS 473
GER/GER7368	KNAB HORN	LUFFE 37
GER/GER7041	KNUBBEL	POGO 12.50 
MLT/RUS404	KNYAZ	A-40
AUS/AUS52152	KOA	TP 52
ESP/ESP2322	KOCHAB	PROTO IOR 1/2 TON
ITA/ITA17029	KOKOPELLI	SINTESI 36
GRE/GRE876	KOLOVOUTI	FEELING 920
ITA/ITA25225	KONG BAMBINO VIZIATO	PLATU 25 OD
GER/GER6097	KONNICHIWA	LUFFE 4004
GRE/GRE1848	KONSTANTINA	APOLLO 12
FRA/FRA34871	KOOKABURRA	JPK 960 Asym
GRE/GRE834	KORMORANOS II	COMFORT 34
ESP/ESP7083_C	KOROMBO	BAVARIA 36 CR
ESP/ESP7205	KORRIGAN 4	X-46 SD
ESP/ESP9882	KOUKO	SUN FAST 36 (IK)
GRE/GRE1171	KOURSAROS	SUN ODYSSEY 42.1
GRE/GRE49161	KOURSAROS	X-372
GRE/GRE302	KRAKEN	MOUNT GAY 30
GER/GER6024	KRANICH	ELAN 410
GER/GER5711	KREUTZ ASS	LUFFE 4004
ESP/ESP7329_C	KROMI	FIRST 345
GRE/GRE1359	KRONOS	ATTALIA 32
ITA/ITA15020	KRYOS	GRAND SOLEIL 37 BC
GER/GER58	KUDDEL DADDEL DU	CROSS 31
GER/GER216	KUEHNEZUG-GOLDKATZE	GOLDKATZE 40
ITA/ITA17415	KUNDALINI	COBRA 33
ESP/ESP10177_R	KUSKUS	SUN FAST 40 DK
ESP/ESP10177	KUSKUS	SUN FAST 40 DK
TUR/TUR7	KYK 1	CHEESE 6.5
TUR/TUR9	KYK 2	CHEESE 6.5
GRE/GRE1193	KYMO II	DISCOVERY 3000
GRE/GRE1002	KYMOTHOE	GRAND SOLEIL 343
ITA/ITA3602SB	KYO	SB20 ONE DESIGN
ESP/ESP9019	KYO V	SUN FAST 3200 Sdt
NOR/NOR11810	Kaliber	cb 66 racer
NOR/NOR4855	Kalina III	WASA 360
NED/NED8856	Kambo	Maxfun 25
CRO/CRO2282	Kaninvin	Salona 38
ISR/ISR72524	Karakahia	Lidgard 48 Custom
NOR/NOR2473	Karin	LEISURE 17
NOR/NOR11176	Karisma 2	hanse 371
NOR/NOR15069	Karpediem	Hanse 400
CRO/CRO1715	Karpo	Elan 450
NOR/NOR12057	Katinken	Grand Soleil 37 B&
NED/NED8647	Kelt	Kelt 620
NED/NED9034	Kemphaan	Dehler 32 JV
ISR/ISR411	Kidmit	Oceanis 411
NED/NED8064	Kiet	Dehler 39
NOR/NOR13509	Kilden	Elan 37
NOR/NOR11312	Kilroy	First 36.7
FIN/FIN15476	Kind of Magic	IMX-38
NED/NED5418	Kirsten	Dehler 37 DB
GBR/37	Kirstine	Bavaria CR 37
NOR/NOR145	Kismet	Knarr
NOR/NOR15005	Kismet jr.	OMEGA 30
NOR/NOR10074	Klara	FIRST 36.7 CR
NED/NED8943	Klaver 4	vd Stadt25/Zeeton
NED/NED7209	Knots!	Sun fast 35
CRO/AUT1157	Kodo	First 40.7
NED/NED8789	Kolibri 6.5	Kolibri 6.5
NOR/NOR2620	Kompis	CUMULUS
NOR/NOR11882	Kong Neptun	Bavaria 36 CR 01-0
NOR/NOR9496	Konstanse	PLATU 25 OD
CRO/CRO1812	Koralia	Bavaria CR 36
NOR/NOR15584	Koroo	Squib
NOR/NOR11357	Krabbelure	FIRST 45 F5
NOR/NOR15036	Kraftkar	Elan 400
CAN/CAN60104	Kraken	First 40.7
CRO/CRO2516	Kraljevna	Bavaria CR 41S
NOR/NOR4272	Kria	Dehler Sprinta DS
CAN/KC3	Krikkit	Abbott 36 
NOR/NOR5440	Kristina	FENIX
NOR/NOR6618	Kristina	ALBIN ALPHA
SLO/SLO1410	Krka	Elan 410
SLO/SLO14101	Krka D	Elan 410
NED/NED8797	Krullevaar	X-37
NED/BEL2829	Kwinte II	Swan 43
NED/NED8658	Kyan	KELT 8 m.
GER/A99151	KÖNIG LUDWIG	ASSO 99
NOR/NOR14784	Kårstua	Elan 310 2.15
ESP/ESP2225_C	L' ILLA	FURIA 28
ITA/ITA16383	L'ESCARGOT	FIRST 34.7
AUS/7041	L'ESPIRIT	SUN ODYSSEY 469
NED/NED3617	L'ESPIRIT	Spirit 28 *1.42
ESP/GBR66	L'IMMENS	SINERGIA 40 MOD.
ITA/ITA188X35	L'IRASCIBILE	X-35
ESP/ESP8835	L'OREIG	A 35
ITA/ITA15321	L'OTTAVO PECCATO	M37
NED/NED8656	L'avalanche	SUN ODYSSEY 32.2
FRA/FRA9721	LA BELUGUE	ELAN 333 DK Lead
AUT/AUT001	LA BLANCHE	PICCO 30
ITA/ITA5989	LA BOHE'ME	BAVARIA 34 C
ESP/ESP8476	LA BURLA NEGRA	DUFOUR 34
ITA/ITA17033	LA CAGE AUX FOLLES	XP-33
ITA/ITALACICA	LA CICALA	SUN MAGIC 44
ITA/ITA17378	LA CUCCIOLA	SUN FAST 3600
GRE/GRE2504	LA DOSE	PLATU 25
ESP/ESP4880_C	LA ESCANDALOSA	FIRST CLASS 8
NED/NED7226	LA GAVINA	Hallberg Rassy 43
FRA/FRA9817	LA GRANDE JINETTE	J-105
ESP/ESP6908	LA INCREIBLE	GOLFIÑO 34
ITA/ITA14553	LA MARCOLINA	ELAN 333
ESP/ESP9148	LA MARIA	FIRST 31.7
ITA/ITALAMIA	LA MIA PICCOLA	BAVARIA 40
ITA/ITA417J24	LA POSSENTE	J-24
ESP/ESP6281	LA RABUDA	SUN FAST 32 I
ITA/SUI60	LA RANA ARROGANTE	J-24
ITA/ITALAROSA	LA ROSA	DUFOUR 405 GL
AUT/AUT007	LA WALLY 4	SEASCAPE 27
AUT/AUT7	LA WALLY CR	SEASCAPE 27
ITA/ITA744	LA ZIA	ILLIMIT
ARG/ARG4530	LADINO MILLENNIAL	PANDORA 34
ESP/ESP5750_C	LADRAGONA	SUN ODYSSEY 40
ITA/ITA98189	LADY DAY 998	ITALIA 9.98 F
FRA/FRA43605	LADY JANE	J-120 Alu
JPN/JPN6821	LADY KANON 6	R/P 45
ARG/URU276	LADY MARILINE	DUFOUR 40 
ITA/ITA17176	LADY MORENA	DUFOUR 40 P
ITA/ITA7346	LAEGA	BALANZONE
ESP/ESP5448_C	LAGUN	FIRST 31.7
ITA/ITA17352	LALISSA	DEHLER 38 C
GER/GER7296	LALLI	ELAN 320 S
ITA/ITA17299	LALTRA	BAVARIA 42 CRUISER
GER/GER6658	LALUMA	FIRST 40.7
GRE/GRE1329	LAMAR II	Sun Odyssey 32.1
GRE/GRE1847	LAMOGIA	DROMOR 26
ESP/ESP6109	LAMPO ROSSO	SUN FAST 32 (DK)
ESP/ESP1351_C	LANCELOT	SIROCCO MK 2
ITA/ITA16621	LANCILLOTTO	FIRST 40'
ARG/ARG3087	LARA	ARIES 37
FRA/BEL3415	LARGO	VARIANTA 44
NED/NED2420	LARISA	Zeeton * 1.55
GRE/GRE1787	LARNE	ONE-OFF
ITA/ITA906F8	LASCIALA ANDARE 	FIRST CLASS 8
AUS/1195	LAST HURRAH	Elliot 13
GRE/GRE631	LAVORO	MUMM 36
ESP/ESP7566	LAZY DOG	GRAND SOLEIL 45
AUS/10447	LE BILLET	FIRST 44.7
ITA/ITA4149	LE COQ HARDI'	X-41
FRA/FRA9032	LE HYCKS	X-102
ITA/ITA16373	LE PELICAN	SALONA 37
FRA/FRA35397	LE RENARD	RANDONNEUR 9.50 BQ
ITA/ITA11969	LEA	X-372
ITA/ITA14751	LEA IL GABBIERE IIø	ELAN 37 SD
ITA/ITALEDA	LEDA	FIRST 21.7
ARG/ARG5210	LEJOS 2	PANDORA 31
NED/NED537	LEMMINKAINEN	Baltic 39 SD
